game_event_id,game_date,game_id,event_minute,event_type,club_id,player_id,description,player_in_id,player_assist_id
60796471d863c770c6cac637081538b0,2022-08-29,3828448,81,Substitutions,206,569663,,542690,
4f9d6539c056df896bff062aa6be62ea,2022-08-29,3828448,66,Substitutions,206,592387,,701226,
34f15e049d31d557fd3205e856260456,2022-08-26,3828449,59,Goals,2414,44726,Right-footed shot 2. Goal of the Season,,
f198a91b60daa5b7166b386548e26ccf,2022-08-26,3828449,28,Goals,678,69511,Tap-in 4. Goal of the Season,,
bfbfb2eb315bce1ac143020c124b581f,2022-08-26,3828449,80,Goals,2414,150732,Penalty 2. Goal of the Season,,
5c042d5e3168396581bba3022e21d3cb,2022-08-26,3828449,74,Substitutions,2414,260838,,50580,
eb4296280ec960cf5e173da015b40494,2022-08-26,3828449,87,Substitutions,2414,333859,,515016,
0a3b456fe853656fb77294dcbb998eb5,2022-08-26,3828449,85,Substitutions,678,341466,,157387,
24f3cf7ccf242515d5b1acd925096c0b,2022-08-26,3828449,78,Substitutions,2414,369678,,421636,
a00afde6bb442b24e4235e1f3edf0adf,2022-08-26,3828449,66,Substitutions,678,386541,,339327,
c7839037c4a57e9ff092135839ef584e,2022-08-26,3828449,66,Substitutions,678,422950,,282954,
5a3d29f490a131aa8564dcc5d6ff440c,2022-08-26,3828449,66,Substitutions,678,445616,,675278,
4e6c7c5ab340620627f9d717f06dab80,2022-08-26,3828449,74,Substitutions,2414,689634,,184534,
ce3431e2c8ef8b4fefad6aac6cd0e1d7,2022-08-26,3828449,85,Substitutions,678,698259,,346549,
6c0506a27e5252e1bd293cfbfbfd1e36,2022-08-28,3828450,70,Substitutions,190,165825,,667914,
ce3a3e2556e0ff391065b178197bd75d,2022-08-28,3828450,46,Substitutions,190,167105,,646782,
7240596ad9c24dd1515e499dfb8323d9,2022-08-28,3828450,88,Substitutions,2778,239044,,579287,
269811dcd285d690e347cc6751ec954d,2022-08-28,3828450,90,Goals,190,263804,Penalty 6. Goal of the Season,,
9f3670b752d8b441a36099a7b7bcfed5,2022-08-28,3828450,56,Substitutions,190,335209,,646478,
3c89e6b9fa9e6517dd3a820002e437a8,2022-08-28,3828450,90,Goals,2778,527896,Right-footed shot 1. Goal of the Season,,
db29810c431d882fdd3446343e9fcf61,2022-08-28,3828450,81,Substitutions,2778,569632,,527896,
0c3efee768370e2df3adde53803a5fa2,2022-08-28,3828450,46,Substitutions,190,574385,,610440,
a0b4eb29bdcd068cc23b64dc6c2c5b8f,2022-08-28,3828450,76,Substitutions,190,652275,,617018,
