"appearance_id","game_id","player_id","player_club_id","player_current_club_id","appearances_date","player_name","competition_id","yellow_cards","red_cards","goals","assists","minutes_played"
"3828435_45666","3828435","45666","5724","5724","2022-08-05","Björn Kopplin","DK1",0,0,0,1,90
"3828435_485672","3828435","485672","2414","2414","2022-08-05","Elijah Just","DK1",0,0,0,0,30
"3828435_491890","3828435","491890","5724","5724","2022-08-05","Stephen Odey","DK1",0,0,0,0,23
"3828435_50580","3828435","50580","2414","2414","2022-08-05","Janus Drachmann","DK1",0,0,0,0,30
"3828435_523476","3828435","523476","2414","2414","2022-08-05","Thomas Santos","DK1",0,0,0,0,84
"3828435_523965","3828435","523965","2414","1894","2022-08-05","Lirim Qamili","DK1",0,0,0,0,6
"3828435_525990","3828435","525990","5724","5724","2022-08-05","Tobias Klysner","DK1",0,0,0,0,13
"3828435_542858","3828435","542858","5724","5724","2022-08-05","Simon Graves","DK1",0,0,0,0,90
"3828435_569654","3828435","569654","2414","2414","2022-08-05","David Kruse","DK1",0,0,0,0,60
"3828435_60220","3828435","60220","2414","2414","2022-08-05","Matej Delac","DK1",0,0,0,0,90
"3828435_663347","3828435","663347","2414","2414","2022-08-05","Marcus Hannesbo","DK1",0,0,0,0,13
"3828435_663424","3828435","663424","5724","5724","2022-08-05","Lasse Berg Johnsen","DK1",0,0,0,0,90
"3828435_685145","3828435","685145","5724","206","2022-08-05","Filip Bundgaard","DK1",0,0,0,0,67
"3828435_689634","3828435","689634","2414","173","2022-08-05","James Gomez","DK1",0,0,0,0,90
"3836749_129991","3836749","129991","468","468","2022-08-05","Bart Vriends","NL1",0,0,0,0,90
"3836749_177866","3836749","177866","468","499","2022-08-05","Mica Pinto","NL1",0,0,0,0,90
"3836749_178219","3836749","178219","306","306","2022-08-05","Thom Haye","NL1",0,0,0,0,86
"3836749_215094","3836749","215094","468","468","2022-08-05","Nick Olij","NL1",0,0,0,0,90
"3836749_227039","3836749","227039","468","1269","2022-08-05","Younes Namli","NL1",0,0,0,0,78
"3836749_248395","3836749","248395","306","306","2022-08-05","Pawel Bochniewicz","NL1",0,0,0,0,90
"3836749_250591","3836749","250591","468","468","2022-08-05","Arno Verschueren","NL1",1,0,0,0,74
"3836749_256718","3836749","256718","306","306","2022-08-05","Sven van Beek","NL1",0,0,0,0,90
"3836749_261546","3836749","261546","306","306","2022-08-05","Joost van Aken","NL1",0,0,0,0,90
"3836749_272206","3836749","272206","468","468","2022-08-05","Tobias Lauritsen","NL1",0,0,0,0,78
"3836749_274373","3836749","274373","306","306","2022-08-05","Rami Kaib","NL1",0,0,0,0,78
"3836749_276853","3836749","276853","306","306","2022-08-05","Andries Noppert","NL1",0,0,0,0,90
"3836749_288067","3836749","288067","306","306","2022-08-05","Mats Köhlert","NL1",0,0,0,0,90
